Vivado Simulator 2020.1
Time resolution is 1 ps
Time=14150000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=14200000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=5 | rst=0
Time=14250000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=5 | rst=0
Time=14350000 | PC=32 | Inst=00058533 | LEDs=0 | switches=5 | rst=0
Time=14450000 | PC=36 | Inst=008000ef | LEDs=0 | switches=5 | rst=0
Time=14550000 | PC=44 | Inst=ff810113 | LEDs=0 | switches=5 | rst=0
Time=14650000 | PC=48 | Inst=00112223 | LEDs=0 | switches=5 | rst=0
Time=14750000 | PC=52 | Inst=00c12023 | LEDs=0 | switches=5 | rst=0
Time=14850000 | PC=56 | Inst=00050633 | LEDs=0 | switches=5 | rst=0
Time=14950000 | PC=60 | Inst=00c32023 | LEDs=0 | switches=5 | rst=0
Time=15050000 | PC=64 | Inst=00060c63 | LEDs=5 | switches=5 | rst=0
Time=15150000 | PC=68 | Inst=fff60613 | LEDs=5 | switches=5 | rst=0
Time=15250000 | PC=72 | Inst=00300693 | LEDs=5 | switches=5 | rst=0
Time=15350000 | PC=76 | Inst=fff68693 | LEDs=5 | switches=5 | rst=0
Time=15450000 | PC=80 | Inst=fe069ee3 | LEDs=5 | switches=5 | rst=0
Time=15550000 | PC=76 | Inst=fff68693 | LEDs=5 | switches=5 | rst=0
Time=15650000 | PC=80 | Inst=fe069ee3 | LEDs=5 | switches=5 | rst=0
Time=15750000 | PC=76 | Inst=fff68693 | LEDs=5 | switches=5 | rst=0
Time=15850000 | PC=80 | Inst=fe069ee3 | LEDs=5 | switches=5 | rst=0
Time=15950000 | PC=84 | Inst=fe0004e3 | LEDs=5 | switches=5 | rst=0
Time=16050000 | PC=60 | Inst=00c32023 | LEDs=5 | switches=5 | rst=0
Time=16150000 | PC=64 | Inst=00060c63 | LEDs=4 | switches=5 | rst=0
Time=16250000 | PC=68 | Inst=fff60613 | LEDs=4 | switches=5 | rst=0
Time=16350000 | PC=72 | Inst=00300693 | LEDs=4 | switches=5 | rst=0
Time=16450000 | PC=76 | Inst=fff68693 | LEDs=4 | switches=5 | rst=0
Time=16550000 | PC=80 | Inst=fe069ee3 | LEDs=4 | switches=5 | rst=0
Time=16650000 | PC=76 | Inst=fff68693 | LEDs=4 | switches=5 | rst=0
Time=16750000 | PC=80 | Inst=fe069ee3 | LEDs=4 | switches=5 | rst=0
Time=16850000 | PC=76 | Inst=fff68693 | LEDs=4 | switches=5 | rst=0
Time=16950000 | PC=80 | Inst=fe069ee3 | LEDs=4 | switches=5 | rst=0
Time=17050000 | PC=84 | Inst=fe0004e3 | LEDs=4 | switches=5 | rst=0
Time=17150000 | PC=60 | Inst=00c32023 | LEDs=4 | switches=5 | rst=0
Time=17250000 | PC=64 | Inst=00060c63 | LEDs=3 | switches=5 | rst=0
Time=17350000 | PC=68 | Inst=fff60613 | LEDs=3 | switches=5 | rst=0
Time=17450000 | PC=72 | Inst=00300693 | LEDs=3 | switches=5 | rst=0
Time=17550000 | PC=76 | Inst=fff68693 | LEDs=3 | switches=5 | rst=0
Time=17650000 | PC=80 | Inst=fe069ee3 | LEDs=3 | switches=5 | rst=0
Time=17750000 | PC=76 | Inst=fff68693 | LEDs=3 | switches=5 | rst=0
Time=17850000 | PC=80 | Inst=fe069ee3 | LEDs=3 | switches=5 | rst=0
